/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Stable oxygen isotope ratios of Cibicidoides wuellerstorfi from ODP Hole 108-659A in the North Atlantic, doi:10.1594/PANGAEA.52517,
	In Supplement to: Tiedemann, Ralf; Sarnthein, Michael; Shackleton, Nicholas J (1994): Astronomic timescale for the Pliocene Atlantic d18O and dust flux records of Ocean Drilling Program site 659, Paleoceanography, 9(4), 619-638, doi:10.1029/94PA00208
Project(s):	Paleoceanology, Leibnitz Institute for Marine Research (GEOMARPal)
	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: -21.0262 * EAST: -21.0262 * SOUTH: 18.0772 * NORTH: 18.0772
	DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00
	MINIMUM DEPTH, sediment: 0.1 m * MAXIMUM DEPTH, sediment: 152.7 m
Event(s):	108-659A * LATITUDE: 18.0772 * LONGITUDE: -21.0262 * ELEVATION: -3082.0 m * DATE/TIME: 1986-03-09T09:30:00 * DATE/TIME 2: 1986-03-11T05:30:00 * RECOVERY: 174.90 m * PENETRATION: 273.80 m * LOCATION: North Atlantic * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Drilling * COMMENT: 29 cores; 273.8 m cored; 0 m drilled; 63.9 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). To adjust the d18O values of C. wuell. to seawater equilibrium, 0.64 per mil have to be added (Shackleton & Hall, 1984. The data set includes data from Schulz, 1988.
Size:	1181 data points
*/
Depth [m]	C. wuellerstorfi d18O [per mil PDB]
0.11	2.27
0.22	2.52
0.32	2.59
0.47	2.59
0.55	2.56
0.73	2.83
1.03	4.18
1.05	4.41
1.12	4.33
1.32	4.29
1.45	4.13
1.59	3.66
1.67	3.90
1.84	3.71
1.88	3.74
2.04	3.49
2.11	3.79
2.16	3.78
2.22	3.39
2.43	3.71
2.46	4.12
2.54	3.49
2.72	3.51
2.80	2.97
2.92	3.28
2.94	3.61
3.06	3.04
3.14	3.08
3.21	3.21
3.28	2.90
