
Scientific Results. Volume 177															
D. Hodell. Ms 177SR-120															
Chapter 9. Table T2.  d18O and d13C for the benthic and planktonic foraminifers. CaCO3. and percent fragmentation of planktonic foraminifers. Site 1089.															

Leg 177. Site 1089. Hole A   				 	 	 	 	 	 	 	 	 	 	 	
 Position: 40 deg 56.1865 min S. 9 deg 53.6447 min E								 	 	 	 	 	 	 	
 Water depth. mbrf ( APC Calc ): 4630.2m															



Site	Hole	Core	Section	IntervalTop(cm)	IntervalBottom(cm)	Depth(modified.mcd)	Age(ka)	d18O.F.bulloides(permil)	d13C.G.bulloides(permil)	d18O.Cibicidoides.(permil)	d13C.Cibicidoides.(permil)	Lab CaCO3.(wt%)	fragmentation.(%)	LabZ
1089	A	1	2	50	51.5	1.76	15.65	2.59	-0.01	NA	NA	SIO	NA	NA	UF
1089	A	1	2	55	56.5	1.82	15.89	NA	NA	3.61	-0.32	SIO	48.6	39.1	UF
1089	A	1	2	59	61	1.86	16.08	2.59	-0.18	3.71	-0.49	SIO	50.4	58.7	UF
1089	A	1	2	65	66.5	1.91	16.3	2.68	-0.01	3.84	-0.86	SIO	46.5	41.7	UF
1089	A	1	2	70	71.5	1.95	16.47	2.91	-0.15	3.72	-0.43	SIO	48.8	66.9	UF
1089	A	1	2	75	76.5	2.02	16.76	2.89	0.11	3.87	-0.8	SIO	46.7	42.8	UF
1089	A	1	2	80	81.5	2.06	16.95	2.68	-0.47	3.93	-0.6	SIO	49.1	44.6	UF
1089	A	1	2	85	86.5	2.11	17.17	2.79	-0.41	4	-0.76	SIO	47.2	46.7	UF
1089	A	1	2	90	91.5	2.16	17.39	3.02	0.08	4.08	-0.66	SIO	46.8	49.5	UF
1089	A	1	2	95	96.5	2.23	17.67	2.99	-0.15	4.17	-0.78	SIO	46.7	52	UF
1089	A	1	2	99	100.5	2.26	17.82	3.29	0.45	NA	NA	SIO	NA	NA	UF
1089	A	1	2	105	106.5	2.32	18.06	3.26	0.52	4.23	-0.62	SIO	47.9	49	UF
1089	A	1	2	110	111.5	2.36	18.26	3.27	0.15	4.22	-1.05	SIO	49	36.6	UF
1089	A	1	2	115	116.5	2.41	18.47	3.26	0.22	4.26	-0.81	SIO	50	34.5	UF
1089	A	1	2	120	121.5	2.46	18.69	3.16	0.12	4.19	-0.75	SIO	48.9	44.7	UF
1089	A	1	2	125	126.5	2.51	18.9	3.44	0.2	4.24	-1.15	SIO	50.1	37.8	UF
1089	A	1	2	130	131.5	2.56	19.04	3.11	-0.01	4.14	-1	SIO	47.5	24.8	UF
1089	A	1	2	135	136.5	2.61	19.18	3.35	0.15	4.27	-0.9	SIO	45.3	32.4	UF
1089	A	1	2	140	141.5	2.66	19.32	3.1	0.26	4.21	-1.06	SIO	46.3	28.1	UF
1089	A	1	2	145	146.5	2.71	19.46	3.38	0.39	NA	NA	SIO	NA	NA	UF
1089	A	1	3	0	1.5	2.76	19.6	3.21	0.21	NA	NA	SIO	NA	NA	UF
1089	A	1	3	5	6.5	2.82	19.76	3.34	0.34	4.21	-1.13	SIO	42	25.5	UF
1089	A	1	3	10	11.5	2.87	19.9	2.9	-0.32	4.25	-0.83	SIO	45.2	30.7	UF
1089	A	1	3	15	16.5	2.91	20.03	3.18	0.24	4.18	-1.03	SIO	42.7	40.3	UF
1089	A	1	3	20	21.5	2.96	20.17	3.22	0.05	4.1	-1.23	SIO	45.8	35.6	UF
1089	A	1	3	25	26.5	3.01	20.31	3.23	-0.03	4.26	-1	SIO	45.1	29.3	UF
1089	A	1	3	30	31.5	3.06	20.45	2.97	-0.06	4.16	-1	SIO	43.2	36.8	UF
1089	A	1	3	34	35.5	3.11	20.59	3.34	0.4	4.24	-1.26	SIO	42.3	38.6	UF
1089	A	1	3	35.5	37	3.16	20.73	3.19	0.14	4.23	-1.3	SIO	41.7	28.2	UF
1089	A	1	3	45	46.5	3.21	20.87	2.99	-0.13	4.08	-1.07	SIO	39.7	36.3	UF
1089	A	1	3	50	51.5	3.26	21.01	3.22	0.1	NA	NA	SIO	NA	18.3	UF
1089	A	1	3	55	56.5	3.32	21.17	3.35	0.34	4.12	-1.08	SIO	36.3	32.5	UF
1089	A	1	3	60	61.5	3.36	21.29	2.99	0.01	4.22	-0.92	SIO	36.3	NA	UF
1089	A	1	3	65	66.5	3.41	21.44	2.95	-0.31	4.2	-0.8	SIO	34.7	18.3	UF
1089	A	1	3	69	70.5	3.46	21.63	NA	NA	4.11	-1.2	SIO	34.7	27.7	UF
1089	A	1	3	76	77.5	3.51	21.84	3.15	0.19	4.13	-1.01	SIO	30.8	26.3	UF
1089	A	1	3	79	81.5	3.56	22.04	NA	NA	4.19	-0.99	SIO	30.8	33.3	UF
1089	A	1	3	85	86.5	3.61	22.25	3.24	0.11	4.27	-0.89	SIO	30.5	26.4	UF
1089	A	1	3	90	91.5	3.66	22.45	3.03	0.14	NA	NA	SIO	25.3	22.8	UF
1089	A	1	3	95	96.5	3.73	22.72	3.19	-0.13	4.02	-0.93	SIO	24.5	22.2	UF
1089	A	1	3	98.5	100	3.76	22.86	NA	NA	NA	NA	SIO	NA	NA	UF
1089	A	1	3	105	106.5	3.82	23.09	3.23	-0.02	4.1	-1.02	SIO	25.8	30.2	UF
1089	A	1	3	110	111.5	3.86	23.27	3.05	0.24	4.08	-0.8	SIO	26.5	29.1	UF
1089	A	1	3	115	116.5	3.91	23.48	NA	NA	4.21	-0.95	SIO	25	18.6	UF
1089	A	1	3	120	121.5	3.96	23.69	2.85	-0.43	4.06	-1.18	SIO	25.3	16.6	UF
1089	A	1	3	125	126.5	4.01	23.89	3.3	0.24	4.22	-0.94	SIO	24	20.3	UF
1089	A	1	3	130	131.5	4.06	24.1	3.33	0.2	4.18	-1.05	SIO	22.3	21.9	UF
1089	A	1	3	135	136.5	4.11	24.3	3.42	0.49	NA	NA	SIO	22.8	NA	UF
1089	A	1	3	140	141.5	4.16	24.51	3.26	0.58	NA	NA	SIO	NA	28.7	UF
1089	A	1	4	0	1.5	4.26	24.92	3.04	0.06	NA	NA	SIO	NA	25.7	UF
1089	A	1	4	5	6.5	4.32	25.15	2.98	0.04	4.07	-0.76	SIO	22.2	NA	UF
1089	A	1	4	10	11.5	4.37	25.36	3.22	0.02	4.17	-1.03	SIO	23.5	23.3	UF
1089	A	1	4	15	16.5	4.41	25.55	3.03	-0.09	4.12	-0.83	SIO	22.1	12.5	UF
1089	A	1	4	20	21.5	4.46	25.77	2.9	-0.07	4.22	-0.57	SIO	21.7	8.3	UF
1089	A	1	4	25	26.5	4.5	25.94	3.26	0.37	4.07	-0.98	SIO	21.6	8.8	UF
1089	A	1	4	30	31.5	4.57	26.22	3.24	-0.32	4.13	-0.75	SIO	21.7	13.5	UF
1089	A	1	4	35	36.5	4.61	26.42	3.14	0.03	4.15	-1.1	SIO	22.6	22.9	UF
1089	A	1	4	39	41	4.66	26.63	3.37	0.28	4.19	-0.97	SIO	22.5	19	UF
1089	A	1	4	45	46.5	4.71	26.85	3.09	0.08	4.13	-0.69	SIO	23.5	19	UF
1089	A	1	4	50	51.5	4.76	27.07	NA	NA	NA	NA	SIO	NA	27.2	UF
1089	A	1	4	55	56.5	4.82	27.3	3.44	0.31	4.08	-0.75	SIO	25	37.5	UF
1089	A	1	4	59.5	61	4.86	27.5	NA	NA	NA	NA	SIO	26.3	38.2	UF
1089	A	1	4	65	66.5	4.91	27.72	NA	NA	4.17	-0.84	SIO	26.3	18.8	UF
1089	A	1	4	70	71.5	4.95	27.89	NA	NA	3.97	-1.07	SIO	25.9	28.9	UF
1089	A	1	4	75	76.5	5.02	28.17	NA	NA	4.11	-0.88	SIO	26.3	31.5	UF
1089	A	1	4	80	81.5	5.06	28.36	NA	NA	4.09	-0.94	SIO	28.9	28.5	UF
1089	A	1	4	85	86.5	5.11	28.58	NA	NA	4.03	-0.85	SIO	30.5	20.3	UF
1089	A	1	4	90	91.5	5.16	28.8	NA	NA	4.08	-0.85	SIO	31.1	24.4	UF
1089	A	1	4	95	96.5	5.23	29.08	NA	NA	4.02	-1.13	SIO	26.8	40.4	UF
1089	A	1	4	99	101.5	5.26	29.21	3.28	0.31	NA	NA	SIO	NA	38.1	UF
1089	A	1	4	105	106.5	5.32	29.35	NA	NA	3.91	-1.08	SIO	26.1	25.9	UF
1089	A	1	4	110	111.5	5.36	29.47	NA	NA	4.05	-0.86	SIO	26.3	23.3	UF
1089	A	1	4	115	116.5	5.41	29.6	2.82	0.01	3.98	-1.08	SIO	26.5	NA	UF
1089	A	1	4	120	121.5	5.46	29.73	2.77	-0.32	4.05	-1.03	SIO	26.3	12.4	UF
1089	A	1	4	125	126.5	5.51	29.86	2.94	0.06	4.11	-1.12	SIO	27	13.7	UF
1089	A	1	4	130	131.5	5.56	29.99	3.06	0.29	4.07	-1.05	SIO	29.3	26.9	UF
1089	A	1	4	135	136.5	5.61	30.12	3.22	0.45	NA	NA	SIO	NA	15.5	UF
1089	D	2	2	35	36.5	5.67	30.28	2.89	NA	NA	NA	SIO	NA	NA	UF
1089	D	2	2	40	41.5	5.72	30.41	3.26	0.45	4.08	-0.97	SIO	29.9	26.6	UF
1089	D	2	2	45	46.5	5.77	30.54	3.1	0.37	4.06	-0.97	SIO	26.4	37.7	UF
1089	D	2	2	50	51.5	5.82	30.67	3.35	NA	NA	NA	SIO	NA	36.6	UF
1089	D	2	2	55	56.5	5.87	30.8	3.43	0.38	3.98	-0.91	SIO	30.7	51.3	UF
1089	D	2	2	60	61.5	5.92	30.93	3.4	0.5	4	-0.86	SIO	35	37.9	UF
1089	D	2	2	65	66.5	5.97	31.06	3.45	0.59	NA	NA	SIO	33.1	46.8	UF
1089	D	2	2	70	71.5	6.02	31.19	3.33	0.65	3.98	-0.76	SIO	38.9	52.3	UF
1089	D	2	2	75	76.5	6.07	31.32	3.27	0.35	3.73	-1.12	SIO	39	42.6	UF
1089	D	2	2	80	81.5	6.12	31.45	3.22	0.46	4.03	-0.81	SIO	36.9	50.8	UF
1089	D	2	2	85	86.5	6.17	31.6	3.39	0.26	4.02	-0.72	SIO	41.3	38	UF
1089	D	2	2	90	91.5	6.22	31.87	3.16	0.39	3.96	-0.71	SIO	40.2	48	UF
1089	D	2	2	95	96.5	6.27	32.14	3.17	0.3	3.82	-0.68	SIO	42	40.8	UF
1089	D	2	2	100	101.5	6.32	32.41	3.32	0.35	NA	NA	SIO	NA	51.1	UF
1089	D	2	2	105	106.5	6.37	32.68	3.34	0.65	3.93	-0.37	SIO	42.9	36.4	UF
1089	D	2	2	110	111.5	6.42	32.96	3.28	0.44	3.86	-0.74	SIO	40	48.3	UF
1089	D	2	2	115	116.5	6.47	33.23	2.86	-0.03	3.98	-0.89	SIO	42.7	39.1	UF
1089	D	2	2	120	121.5	6.52	33.5	3.2	0.41	3.93	-0.82	SIO	44.3	60.6	UF
1089	D	2	2	125	126.5	6.57	33.77	3.22	0.55	3.95	-0.62	SIO	44.6	60.6	UF
1089	D	2	2	130	131.5	6.62	34.05	3.12	0.52	4.03	-0.97	SIO	42.3	50	UF
1089	D	2	2	135	136.5	6.67	34.32	3	0.28	3.91	-0.58	SIO	40.4	46.9	UF
1089	D	2	2	140	141.5	6.72	34.59	3.19	0.34	3.92	-0.58	SIO	45.1	46.6	UF
1089	D	2	2	145	146.5	6.77	34.86	3.16	0.69	NA	NA	SIO	NA	56	UF
1089	D	2	3	0	1.5	6.82	35.13	2.93	0.45	NA	NA	SIO	NA	50	UF
1089	D	2	3	5	6.5	6.87	35.41	3.04	0.52	3.78	-0.53	SIO	47.4	60.3	UF
1089	D	2	3	10	11.5	6.92	35.68	2.94	0.08	3.84	-0.57	SIO	50.8	60.7	UF
1089	D	2	3	15	16.5	6.97	35.95	3.33	0.62	3.92	-0.4	SIO	53.3	56.4	UF
1089	D	2	3	20	21.5	7.02	36.22	3.05	0.69	3.96	-0.53	SIO	54.2	39.1	UF
1089	D	2	3	25	26.5	7.07	36.5	3.28	0.68	3.93	-0.47	SIO	51.1	35.3	UF
1089	D	2	3	30	31.5	7.12	36.75	3.26	0.78	3.85	-0.28	SIO	52.1	46.3	UF
1089	D	2	3	35	36.5	7.17	36.99	3.26	0.56	3.86	-0.67	SIO	43.2	54	UF
1089	D	2	3	40	41.5	7.22	37.24	3.07	0.68	3.86	-0.56	SIO	39.1	59.5	UF
1089	D	2	3	45	46.5	7.27	37.49	3.09	0.62	3.8	-0.66	SIO	39.4	71.8	UF
1089	D	2	3	50	51.5	7.32	37.74	2.89	0.43	NA	NA	SIO	NA	55.1	UF
1089	D	2	3	55	56.5	7.37	37.99	3.09	0.67	4.03	-0.79	SIO	40.9	60.5	UF
1089	D	2	3	60	61.5	7.42	38.23	3.15	0.5	3.92	-0.75	SIO	41	49.2	UF
1089	D	2	3	65	66.5	7.47	38.48	2.87	-0.05	3.82	-0.51	SIO	42.6	NA	UF
1089	D	2	3	70	71.5	7.52	38.73	2.64	-0.17	3.92	-0.45	SIO	45.3	78.6	UF
1089	D	2	3	75	76.5	7.57	38.98	2.91	0.25	3.84	-0.38	SIO	45.4	59.2	UF
1089	D	2	3	80	81.5	7.62	39.23	3.45	0.34	3.9	-0.66	SIO	44.6	58.5	UF
1089	D	2	3	85	86.5	7.67	39.47	3.2	0.61	3.93	-0.57	SIO	45.7	50.2	UF
1089	D	2	3	90	91.5	7.72	39.72	2.96	0.24	3.87	-0.88	SIO	44.9	52.8	UF
1089	D	2	3	95	96.5	7.77	39.97	3.02	0.43	3.92	-0.6	SIO	44.9	42.5	UF
1089	D	2	3	100	101.5	7.82	40.22	3.2	0.34	NA	NA	SIO	NA	59.1	UF
1089	D	2	3	105	106.5	7.87	40.47	3.21	0.61	3.87	-0.81	SIO	40.5	48.8	UF
1089	D	2	3	110	111.5	7.92	40.71	3.02	0.4	NA	NA	SIO	40.1	NA	UF
1089	D	2	3	115	116.5	7.97	40.96	2.95	0.84	3.83	-0.68	SIO	42.3	57.7	UF
1089	D	2	3	120	121.5	8.02	41.22	2.94	0.44	3.89	-0.77	SIO	43.5	62.3	UF
1089	D	2	3	125	126.5	8.07	41.5	3.22	0.66	3.79	-0.34	SIO	43.7	57.8	UF
1089	D	2	3	130	131.5	8.12	41.77	3.37	0.59	3.91	-0.37	SIO	43.2	47.6	UF
1089	D	2	3	135	136.5	8.17	42.05	3.17	0.72	3.83	-0.46	SIO	37.8	63.1	UF
1089	D	2	3	140	141.5	8.22	42.32	3.03	0.73	NA	NA	SIO	48.8	63.7	UF
1089	D	2	3	145	146.5	8.27	42.6	2.9	0.53	NA	NA	SIO	NA	58.6	UF
1089	D	2	4	0	1.5	8.32	42.87	2.96	0.56	NA	NA	SIO	NA	44.5	UF
1089	D	2	4	5	6.5	8.37	43.15	3.01	0.43	3.86	-0.75	SIO	43.8	54.1	UF
1089	D	2	4	10	11.5	8.42	43.42	2.97	0.43	3.97	-1.16	SIO	45	NA	UF
1089	D	2	4	15	16.5	8.47	43.7	3.32	0.76	3.8	-0.46	SIO	51.3	43.8	UF
1089	D	2	4	20	21.5	8.52	43.97	3.08	0.37	3.76	-0.55	SIO	51	31.4	UF
1089	D	2	4	25	26.5	8.57	44.25	2.89	0.22	3.83	-0.42	SIO	52.9	24.5	UF
1089	D	2	4	30	31.5	8.62	44.52	2.57	0.43	3.76	-0.47	SIO	49.6	24.8	UF
1089	D	2	4	35	36.5	8.67	44.8	2.8	0.57	3.86	-0.49	SIO	43.3	45.7	UF
1089	D	2	4	40	41.5	8.72	45.07	2.88	0.48	3.83	-0.4	SIO	40.3	46.8	UF
1089	D	2	4	45	46.5	8.77	45.35	2.92	0.28	3.75	-0.51	SIO	36.5	30.4	UF
1089	D	2	4	50	51.5	8.82	45.62	2.8	0.34	NA	NA	SIO	NA	38.8	UF
1089	D	2	4	55	56.5	8.87	45.9	2.67	0.46	3.78	-0.67	SIO	36.5	47.1	UF
1089	D	2	4	60	61.5	8.92	46.17	2.88	0.54	3.76	-0.72	SIO	39.7	44.2	UF
1089	D	2	4	65	66.5	8.97	46.47	2.66	-0.04	NA	NA	SIO	43	46.9	UF
1089	D	2	4	70	71.5	9.02	46.76	NA	NA	3.87	-0.81	SIO	44.3	50.7	UF
1089	D	2	4	75	76.5	9.07	47.05	3.2	0.47	3.84	-0.8	SIO	42	47.3	UF
1089	D	2	4	80	81.5	9.12	47.34	3.11	NA	3.84	-0.59	SIO	41.8	46.2	UF
1089	D	2	4	85	86.5	9.17	47.64	3.12	NA	3.91	-0.68	SIO	44.6	63	UF
1089	D	2	4	90	91.5	9.22	47.93	2.99	NA	NA	NA	SIO	49.3	55.3	UF
1089	D	2	4	95	96.5	9.27	48.22	3.28	NA	3.84	-0.45	SIO	48.7	44.6	UF
1089	D	2	4	100	101.5	9.32	48.51	3.13	0.67	NA	NA	SIO	NA	44.9	UF
1089	D	2	4	105	106.5	9.37	48.8	3.24	NA	3.8	-0.57	SIO	51.2	46.8	UF
1089	D	2	4	110	111.5	9.42	49.1	3.23	NA	3.87	-0.54	SIO	50.3	34.5	UF
1089	D	2	4	115	116.5	9.47	49.39	3.11	NA	3.77	-0.42	SIO	47.5	26.2	UF
1089	D	2	4	120	121.5	9.52	49.68	3.06	NA	3.74	-0.25	SIO	55.7	24.9	UF
1089	D	2	4	125	126.5	9.57	49.97	3.03	NA	3.86	-0.54	SIO	56.5	21.2	UF
1089	D	2	4	130	131.5	9.62	50.26	3.09	NA	3.74	-0.51	SIO	56.7	21.1	UF
1089	D	2	4	135	136.5	9.67	50.56	2.9	NA	3.75	-0.65	SIO	57.6	16.4	UF
1089	D	2	4	140	141.5	9.72	50.85	2.99	NA	3.76	-0.28	SIO	57.3	16.2	UF
1089	D	2	4	145	146.5	9.77	51.14	2.89	0.36	NA	NA	SIO	NA	19.1	UF
1089	D	2	5	0	1.5	9.82	51.43	2.87	0.51	NA	NA	SIO	NA	58.6	UF
1089	D	2	5	5	6.5	9.87	51.73	2.8	NA	3.76	-0.71	SIO	52.9	35.3	UF
1089	D	2	5	10	11.5	9.92	52.03	3	NA	3.78	-0.44	SIO	49.5	53.5	UF
1089	D	2	5	15	16.5	9.97	52.33	2.86	NA	3.81	-0.66	SIO	52.8	41.2	UF
1089	D	2	5	20	21.5	10.02	52.62	2.91	NA	3.88	-0.79	SIO	52.5	38.6	UF
1089	D	2	5	25	26.5	10.07	52.92	3.04	NA	3.9	-0.7	SIO	50.5	35.8	UF
1089	D	2	5	30	31.5	10.12	53.22	2.92	NA	3.87	-0.67	SIO	46.4	36.9	UF
1089	D	2	5	35	36.5	10.17	53.52	3.06	NA	3.8	-0.65	SIO	56.9	24.7	UF
1089	D	2	5	40	41.5	10.22	53.82	3.03	NA	3.88	-0.42	SIO	55.2	23.9	UF
1089	D	2	5	45	46.5	10.27	54.11	2.83	NA	3.78	-0.69	SIO	55.4	28.4	UF
1089	D	2	5	50	51.5	10.32	54.41	2.9	1.03	3.69	-0.25	SIO	NA	22.6	UF
1089	D	2	5	55	56.5	10.37	54.71	3	NA	3.81	-0.45	SIO	53.3	22.6	UF
1089	D	2	5	60	61.5	10.42	55.01	2.75	NA	3.88	-0.68	SIO	53.7	26	UF
1089	D	2	5	65	66.5	10.47	55.3	NA	NA	3.82	-0.44	SIO	52.8	29.3	UF
1089	D	2	5	70	71.5	10.52	55.6	2.79	NA	NA	NA	SIO	44.5	35.6	UF
1089	D	2	5	75	76.5	10.57	55.9	3.01	NA	3.82	-0.74	SIO	38.2	41.7	UF
1089	D	2	5	80	81.5	10.62	56.2	2.85	NA	3.77	-0.65	SIO	40.8	35.3	UF
1089	D	2	5	85	86.5	10.67	56.5	2.86	NA	3.82	-0.62	SIO	39.8	34.4	UF
1089	D	2	5	90	91.5	10.72	56.79	2.98	NA	3.78	-0.37	SIO	31.3	64.8	UF
1089	D	2	5	95	96.5	10.77	57.11	3	NA	3.8	-0.67	SIO	30.9	61.7	UF
1089	D	2	5	100	101.5	10.82	57.44	2.88	0.27	NA	NA	SIO	NA	NA	UF
1089	D	2	5	105	106.5	10.87	57.77	2.89	NA	NA	NA	SIO	29.1	58.4	UF
1089	D	2	5	110	111.5	10.92	58.1	3.24	NA	3.82	-0.8	SIO	25.3	70.4	UF
1089	D	2	5	115	116.5	10.97	58.43	2.92	NA	3.75	-0.8	SIO	23.8	47.4	UF
1089	D	2	5	120	121.5	11.02	58.76	2.74	NA	3.66	-0.78	SIO	22	21.7	UF
1089	D	2	5	125	126.5	11.07	59.09	3	NA	NA	NA	SIO	19.2	44	UF
1089	D	2	5	130	131.5	11.12	59.42	2.94	0.13	NA	NA	SIO	NA	43	UF
1089	A	2	3	130	131.5	11.18	59.82	2.97	0.15	3.75	-0.96	SIO	NA	31.9	UF
1089	A	2	3	135	136.5	11.23	60.15	3.18	0.28	NA	NA	SIO	21.7	47.2	UF
1089	A	2	3	140	141.5	11.28	60.48	2.83	-0.35	NA	NA	SIO	20.7	23.1	UF
1089	A	2	3	145	146.5	11.33	60.81	2.81	0.09	NA	NA	SIO	NA	20.9	UF
1089	A	2	4	0	1.5	11.38	61.14	3.04	0.13	NA	NA	SIO	NA	NA	UF
1089	A	2	4	5	6.5	11.43	61.47	2.83	0.29	3.8	-1.24	SIO	22.2	44.8	UF
1089	A	2	4	10	11.5	11.48	61.8	3.02	-0.05	3.79	-1.13	SIO	20	43.3	UF
1089	A	2	4	15	16.5	11.53	62.13	2.77	-0.09	3.86	-1.08	SIO	14.1	36.7	UF
1089	A	2	4	20	21.5	11.58	62.46	2.63	-0.05	3.93	-1.02	SIO	17.9	45.8	UF
1089	A	2	4	25	26.5	11.63	62.79	2.74	-0.15	3.84	-1.15	SIO	17.4	29.2	UF
1089	A	2	4	30	31.5	11.68	63.16	3.02	0.21	3.88	-0.81	SIO	13.1	43	UF
1089	A	2	4	34	35.5	11.73	63.55	2.85	0.15	3.89	-0.78	SIO	11.4	60	UF
1089	A	2	4	35.5	37	11.78	63.95	NA	NA	3.77	-0.97	SIO	12.3	35.6	UF
1089	A	2	4	43	46.5	11.83	64.35	2.93	0.3	NA	NA	SIO	12.9	48.6	UF
1089	A	2	4	50	51.5	11.88	64.75	2.83	0.25	NA	NA	SIO	NA	NA	UF
1089	A	2	4	55	56.5	11.93	65.15	3.07	0.38	NA	NA	SIO	17	46.1	UF
1089	A	2	4	58.5	60	11.98	65.54	2.98	0.04	3.86	-1.07	SIO	16.3	47.1	UF
1089	A	2	4	65	66.5	12.03	65.94	2.93	0.25	3.88	-0.87	SIO	17.3	32.2	UF
1089	A	2	4	70	72.5	12.08	66.34	3.18	0.28	NA	NA	SIO	17.8	32.1	UF
1089	A	2	4	75	76.5	12.13	66.74	2.99	0.07	3.93	-0.95	SIO	17.1	35.3	UF
1089	A	2	4	80	81.5	12.18	67.14	2.88	0.01	3.82	-0.91	SIO	15	26.7	UF
1089	A	2	4	85	86.5	12.23	67.53	3.16	0.47	3.79	-0.89	SIO	13	25.9	UF
