Scientific Results, Volume 177
D. Hodell et al., Ms 177SR-120
Chapter 9, Table T4.  d18O and d13C of benthic and planktonic foraminifers and CaCO3 at Site 1090 and piston core TTN057-6.  																


Site/Hole	Core	Section	Interval top (cm)	Interval bottom (cm)	Depth (mcd)	Age (ka)	d18O C. wuellerstorfi (permil)	d13C C. wuellerstorfi (permil)	d18O C. kullenbergi (permil)	d13C C. kullenbergi (permil)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O N. pachyderma (permil)	d13C N. pachyderma (permil)	CaCO3	 (wt%)	Lab
TTNO57-6	PC4	IX	66	68	0.66	18.26					3.30	-0.03	2.77	-0.79	60.8	UF
TTNO57-6	PC4	IX	69	71	0.69	19.10					3.09	-0.35	2.95	-0.66	61.3	UF
TTNO57-6	PC4	IX	72	74	0.72	19.94			4.17	-0.99	3.08	-0.49			59.5	UF
TTNO57-6	PC4	IX	75	77	0.75	20.78					3.00	0.07	2.95	-0.62	53.3	UF
TTNO57-6	PC4	IX	80	82	0.78	21.62	4.03	-0.26			3.32	-0.43	2.64	-0.62	52.6	UF
TTNO57-6	PC4	IX	81	83	0.81	22.46	4.13	-0.62			2.46	0.03			53.6	UF
TTNO57-6	PC4	IX	84	86	0.84	23.30					3.29	0.26	3.00	-0.80	43.2	UF
TTNO57-6	PC4	IX	87	89	0.87	24.15	4.21	-0.03			3.02	-0.53	2.52	-0.80	44.2	UF
TTNO57-6	PC4	IX	90	92	0.90	24.99					2.80	0.09			43.1	UF
TTNO57-6	PC4	IX	93	95	0.93	25.83	3.72	-0.13			2.76	0.09	2.76	-0.71	39.5	UF
TTNO57-6	PC4	IX	96	98	0.96	26.67					2.10	-0.13			41.6	UF
TTNO57-6	PC4	IX	99	101	0.99	27.51	3.00	0.16			2.17	0.18	2.52	-0.82	46.2	UF
TTNO57-6	PC4	IX	102	104	1.02	28.35	4.15	-0.33			2.31	0.07	2.56	-0.91	46.8	UF
																
TTNO57-6	PC4	VIII	0	2	1.03	28.74	4.01	-0.24			3.05	-0.38	2.50	-0.55		UF
TTNO57-6	PC4	VIII	3	5	1.06	29.58					3.05	0.25	2.72	-0.41	51.5	UF
TTNO57-6	PC4	VIII	6	8	1.09	30.42					3.15	0.59			52.3	UF
TTNO57-6	PC4	VIII	9	11	1.12	31.26	3.87	-0.38			3.04	0.48	2.70	-0.54	61.7	UF
TTNO57-6	PC4	VIII	12	14	1.15	32.10					2.86	0.13			65.8	UF
TTNO57-6	PC4	VIII	15	17	1.18	32.94	3.97	-0.40			2.90	-0.02	2.61	-0.23	65.7	UF
TTNO57-6	PC4	VIII	18	20	1.21	33.79	3.81	0.01			3.06	0.04			66.3	UF
TTNO57-6	PC4	VIII	21	23	1.24	34.63	3.80	-0.17			3.13	0.27			70.6	UF
TTNO57-6	PC4	VIII	24	26	1.27	35.47	3.83	0.03			2.97	-0.22	2.68	-0.08	73.4	UF
TTNO57-6	PC4	VIII	27	29	1.30	36.31	3.71	-0.35			2.91	-0.08			75.6	UF
TTNO57-6	PC4	VIII	30	32	1.33	37.15	3.79	-0.15			2.66	-0.40	2.73	-0.10	73.2	UF
TTNO57-6	PC4	VIII	33	35	1.36	37.99	3.79	-0.16			2.75	0.03	2.44	-0.40	70.3	UF
TTNO57-6	PC4	VIII	36	38	1.39	38.83	3.84	-0.25			2.79	-0.40			71.3	UF
TTNO57-6	PC4	VIII	39	41	1.42	39.67					3.01	0.18	2.76	-0.39	69.9	UF
TTNO57-6	PC4	VIII	42	44	1.45	40.51	3.83	-0.49			2.60	-0.04			67.0	UF
TTNO57-6	PC4	VIII	45	47	1.48	41.35					2.90	0.21	2.80	-0.22	65.1	UF
TTNO57-6	PC4	VIII	48	50	1.51	42.19					2.81	0.01	2.73	-0.09	62.1	UF
TTNO57-6	PC4	VIII	51	53	1.54	43.03			3.94	-0.97	2.91	-0.15			63.1	UF
TTNO57-6	PC4	VIII	54	56	1.57	43.87					2.77	0.07	2.64	-0.40	62.8	UF
TTNO57-6	PC4	VIII	57	59	1.60	44.71					2.84	-0.10	2.72	-0.27	60.2	UF
TTNO57-6	PC4	VIII	60	62	1.63	45.55					2.73	0.21	2.69	-0.25	63.6	UF
TTNO57-6	PC4	VIII	63	65	1.66	46.40					2.58	-0.29	2.42	-0.55	64.3	UF
TTNO57-6	PC4	VIII	66	68	1.69	47.24					2.75	0.10	2.62	-0.25	66.9	UF
TTNO57-6	PC4	VIII	69	71	1.72	48.08					2.63	-0.03	2.53	-0.20	67.8	UF
TTNO57-6	PC4	VIII	72	74	1.75	48.92					2.62	-0.19			62.2	UF
TTNO57-6	PC4	VIII	75	77	1.78	49.76					2.74	-0.01	2.56	-0.23	59.6	UF
TTNO57-6	PC4	VIII	78	80	1.81	50.60					2.70	-0.02			59.1	UF
TTNO57-6	PC4	VIII	81	83	1.84	51.44					2.67	0.09	2.62	-0.40	56.3	UF
TTNO57-6	PC4	VIII	84	86	1.87	52.28	3.64	-0.31			2.63	-0.10	2.65	-0.31	56.4	UF
TTNO57-6	PC4	VIII	87	89	1.90	53.12					2.57	-0.08	2.63	-0.10	63.1	UF
TTNO57-6	PC4	VIII	90	92	1.93	53.96					2.50	-0.32	2.55	-0.24	73.1	UF
TTNO57-6	PC4	VIII	93	95	1.96	54.80					2.52	-0.34			75.9	UF
TTNO57-6	PC4	VIII	96	98	1.99	55.64					2.58	-0.40	2.41	-0.15	74.5	UF
TTNO57-6	PC4	VIII	99	101	2.02	56.48					2.50	-0.49	2.39	-0.39	74.4	UF
TTNO57-6	PC4	VIII	102	104	2.05	57.32					2.61	-0.23	2.20	-0.49	72.0	UF
TTNO57-6	PC4	VIII	105	107	2.08	58.17	3.81	-0.31			2.54	-0.34	2.32	-0.41	76.6	UF
TTNO57-6	PC4	VIII	108	110	2.11	59.01					2.50	-0.41	2.33	-0.41	74.5	UF
TTNO57-6	PC4	VIII	111	113	2.14	59.85					2.44	-0.30	2.23	-0.39	73.7	UF
TTNO57-6	PC4	VIII	114	116	2.17	60.69					2.42	-0.82	2.32	-0.30	75.5	UF
TTNO57-6	PC4	VIII	117	119	2.20	61.53	3.86	-0.44			2.85	-0.06	2.21	-0.50	71.0	UF
TTNO57-6	PC4	VIII	120	122	2.23	62.37					2.80	-0.64	2.37	-0.56	61.4	UF
TTNO57-6	PC4	VIII	123	125	2.26	63.21					2.57	-0.76	2.27	-0.64	60.3	UF
TTNO57-6	PC4	VIII	126	128	2.29	64.05					2.83	-0.59			64.6	UF
TTNO57-6	PC4	VIII	129	131	2.32	64.89	3.70	-0.33			2.67	-0.39	2.34	-0.83	62.1	UF
TTNO57-6	PC4	VIII	132	134	2.35	65.73					3.02	0.01	2.56	-0.13	63.7	UF
TTNO57-6	PC4	VIII	135	137	2.38	66.57			3.70	-1.22	3.19	0.15			62.9	UF
TTNO57-6	PC4	VIII	138	140	2.41	67.41			3.75	-1.06	2.77	0.00	2.47	-0.50	64.2	UF
TTNO57-6	PC4	VIII	141	143	2.44	68.25			3.83	-1.08	2.94	0.11	2.59	-0.70	67.4	UF
TTNO57-6	PC4	VIII	144	146	2.47	69.09			3.86	-1.15	2.90	0.19	2.55	-0.12	68.3	UF
TTNO57-6	PC4	VIII	147	149	2.50	69.93			3.88	-0.88	2.64	-0.41	2.69	0.00	68.6	UF
																
TTNO57-6	PC4	VII	0	2	2.54	70.92			3.83	-1.18	2.87	0.33			68.4	UF
TTNO57-6	PC4	VII	3	5	2.57	71.76			3.78	-1.16	2.94	0.14	2.56	0.16	71.4	UF
TTNO57-6	PC4	VII	6	8	2.60	72.60			3.70	-0.76	2.73	0.27			79.3	UF
TTNO57-6	PC4	VII	9	11	2.63	73.44			3.69	-0.75	2.54	-0.12	2.57	-0.19	80.9	UF
TTNO57-6	PC4	VII	12	14	2.66	74.28			3.71	-0.38	2.38	-0.22	2.69	-0.04	82.5	UF
TTNO57-6	PC4	VII	15	17	2.69	75.12	3.43	0.28	3.37	-0.38	2.67	0.00	2.45	0.25	77.8	UF
TTNO57-6	PC4	VII	18	20	2.72	75.96	3.53	0.33	3.54	-0.41	2.62	0.16	2.39	0.43	79.4	UF
TTNO57-6	PC4	VII	21	23	2.75	76.80	3.59	0.36	3.54	0.02	2.66	0.16			77.1	UF
TTNO57-6	PC4	VII	24	26	2.78	77.64	3.52	0.34			2.39	-0.15	2.37	0.62	79.8	UF
TTNO57-6	PC4	VII	27	29	2.81	78.48	3.45	0.21			2.51	0.18	2.33	0.66	81.3	UF
TTNO57-6	PC4	VII	30	32	2.84	79.32	3.40	0.06			2.33	0.23			83.8	UF
TTNO57-6	PC4	VII	33	35	2.87	80.16	3.44	0.24	3.46	0.22	2.52	0.19	2.19	0.51	82.0	UF
TTNO57-6	PC4	VII	36	38	2.90	81.00	3.29	0.25			2.45	0.22	2.19	0.48	83.4	UF
TTNO57-6	PC4	VII	39	41	2.93	81.84	3.45	0.28	3.29	0.17	2.55	0.18	2.19	0.57	84.0	UF
TTNO57-6	PC4	VII	42	44	2.96	82.69	3.33	0.24			2.40	0.18	2.10	0.63	84.3	UF
TTNO57-6	PC4	VII	45	47	2.99	83.53	3.29	0.47			2.34	0.05	1.92	0.34	86.4	UF
TTNO57-6	PC4	VII	48	50	3.02	84.37	3.13	0.35	3.34	0.33	2.32	0.29	1.94	0.42	86.9	UF
TTNO57-6	PC4	VII	51	53	3.05	85.21	3.25	0.24	3.27	0.31	2.28	0.05	2.03	0.36	87.1	UF
TTNO57-6	PC4	VII	54	56	3.08	86.05	3.13	0.39			2.29	-0.04	1.85	0.33	86.7	UF
TTNO57-6	PC4	VII	57	59	3.11	86.89	3.22	0.21			2.10	0.11	1.90	0.34	86.8	UF
TTNO57-6	PC4	VII	60	62	3.14	87.73	3.09	0.02			2.22	0.23	1.97	0.34	85.7	UF
TTNO57-6	PC4	VII	63	65	3.17	88.57	3.08	0.03			2.22	0.01	1.98	0.32	83.7	UF
TTNO57-6	PC4	VII	66	68	3.20	89.41					2.29	0.12	2.07	0.31	80.0	UF
TTNO57-6	PC4	VII	69	71	3.23	90.25	3.36	0.34			2.62	0.17	2.16	0.28	81.9	UF
TTNO57-6	PC4	VII	72	74	3.26	91.09					2.56	0.31	2.27	0.28	80.3	UF
TTNO57-6	PC4	VII	75	77	3.29	91.93					2.51	0.14	2.31	0.18	77.8	UF
TTNO57-6	PC4	VII	78	80	3.32	92.77	3.41	0.30			2.63	0.17	2.15	0.10	77.3	UF
TTNO57-6	PC4	VII	81	83	3.35	93.61					2.42	-0.11	2.03	0.13	84.8	UF
TTNO57-6	PC4	VII	84	86	3.38	94.46					2.52	0.07	2.09	0.32	83.2	UF
TTNO57-6	PC4	VII	87	89	3.41	95.30					2.56	0.08			85.3	UF
TTNO57-6	PC4	VII	90	92	3.44	96.14					2.59	0.08	1.81	0.40	85.1	UF
TTNO57-6	PC4	VII	93	95	3.47	96.98					2.45	0.15	1.73	0.40	85.3	UF
TTNO57-6	PC4	VII	96	98	3.50	97.82					2.36	0.03	1.84	0.17	83.8	UF
TTNO57-6	PC4	VII	99	101	3.53	98.66					2.68	0.29	1.92	0.32	81.2	UF
TTNO57-6	PC4	VII	102	104	3.56	99.50					2.40	0.01	1.74	0.38	79.4	UF
TTNO57-6	PC4	VII	105	107	3.59	100.34					2.43	0.11	1.81	0.23	79.5	UF
TTNO57-6	PC4	VII	108	110	3.62	101.18					2.43	0.11	1.88	0.29	81.4	UF
TTNO57-6	PC4	VII	111	113	3.65	102.02					2.37	-0.11	1.72	0.48	82.3	UF
TTNO57-6	PC4	VII	114	116	3.68	102.86					2.25	-0.02	1.97	0.44	83.3	UF
TTNO57-6	PC4	VII	117	119	3.71	103.70					2.36	-0.19	1.92	0.25	79.7	UF
TTNO57-6	PC4	VII	120	122	3.74	104.54					2.26	0.08	1.92	0.34	78.8	UF
TTNO57-6	PC4	VII	123	125	3.77	105.38	3.37	-0.10			2.32	-0.06	2.09	0.35	76.2	UF
TTNO57-6	PC4	VII	126	128	3.80	106.22	3.39	0.15	3.30	0.01	2.30	-0.08	2.05	0.22	78.7	UF
TTNO57-6	PC4	VII	129	131	3.83	107.07					2.40	0.17	2.06	0.35	81.4	UF
TTNO57-6	PC4	VII	132	134	3.86	107.91					2.37	-0.05	2.03	0.34	77.6	UF
TTNO57-6	PC4	VII	135	137	3.89	108.75	3.30	0.02			2.32	-0.03	1.96	0.20	78.8	UF
TTNO57-6	PC4	VII	138	140	3.92	109.59			3.06	0.24	2.37	0.06	1.99	0.15	74.7	UF
TTNO57-6	PC4	VII	141	143	3.95	110.43	3.05	0.08	3.40	0.26	2.38	0.01	2.02	0.27	79.3	UF
TTNO57-6	PC4	VII	144	146	3.98	111.27	3.11	0.26	3.23	0.16	2.35	0.19	2.03	0.40	81.1	UF
TTNO57-6	PC4	VII	147	149	4.01	112.11			3.33	0.21	2.31	-0.33	1.86	0.32	77.3	UF
																
TTNO57-6	PC4	VI	0	2	4.05	113.23	2.86	0.39	3.42	0.18	2.16	0.02	1.83	0.32	85.8	UF
TTNO57-6	PC4	VI	3	5	4.08	114.07			3.00	0.41	2.27	0.21	1.61	0.36	83.7	UF
TTNO57-6	PC4	VI	6	8	4.11	114.91	2.94	0.20	3.09	0.06	2.17	0.32	1.50	0.31	82.6	UF
TTNO57-6	PC4	VI	9	11	4.14	115.75	2.87	0.35	3.08	0.18	2.20	0.25	1.64	0.55	84.9	UF
TTNO57-6	PC4	VI	12	14	4.17	116.59	2.87	0.06			1.91	0.36	1.36	0.57	87.5	UF
TTNO57-6	PC4	VI	15	17	4.20	117.43	2.74	0.45			1.64	0.10	1.40	0.29	87.5	UF
TTNO57-6	PC4	VI	18	20	4.23	118.27	2.73	0.40	2.65	0.30	1.69	0.43	1.55	0.33	86.6	UF
TTNO57-6	PC4	VI	21	23	4.26	119.12	2.59	0.36	2.74	0.14	1.63	-0.01	1.69	0.14	84.4	UF
TTNO57-6	PC4	VI	24	26	4.29	119.96	3.09	-0.02			1.31	-0.14	1.27	0.22	84.8	UF
TTNO57-6	PC4	VI	27	29	4.32	120.80	2.78	0.15	2.52	0.07	1.39	-0.37	1.46	-0.09	84.7	UF
TTNO57-6	PC4	VI	30	32	4.35	121.64	2.48	0.08	2.53	0.07	1.26	-0.61	1.41	-0.04	82.7	UF
TTNO57-6	PC4	VI	33	35	4.38	122.48	2.65	0.16	2.52	-0.09	1.04	-0.51	1.88	-0.60	85.1	UF
TTNO57-6	PC4	VI	36	38	4.41	123.32	2.56	0.13	2.58	0.04	1.46	-0.70	1.66	0.08	82.6	UF
TTNO57-6	PC4	VI	39	41	4.44	124.16	2.53	-0.02	2.63	0.06	1.51	-0.42	1.69	-0.28	82.2	UF
TTNO57-6	PC4	VI	42	44	4.47	125.00	2.52	-0.02	2.63	0.11	1.79	-0.06	1.99	-0.65	79.6	UF
TTNO57-6	PC4	VI	45	47	4.50	126.40	3.44	-0.06	2.80	0.10	1.61	-0.99	2.28	-0.53	82.3	UF
TTNO57-6	PC4	VI	48	50	4.53	127.81	3.54	-0.30			1.80	-1.17	2.19	-0.97	81.0	UF
TTNO57-6	PC4	VI	51	53	4.56	129.21	3.66	-0.27			1.93	-0.99	2.21	-0.72	82.4	UF
TTNO57-6	PC4	VI	54	56	4.59	130.61	3.90	-0.16			2.03	-1.14	2.21	-0.81	83.8	UF
TTNO57-6	PC4	VI	57	59	4.62	132.01	3.86	-0.20			1.94	-1.01	2.25	-0.68	85.4	UF
TTNO57-6	PC4	VI	60	62	4.65	133.42	3.99	-0.18			2.60	-0.80	2.13	-0.86	80.1	UF
TTNO57-6	PC4	VI	63	65	4.68	134.82	4.13	-0.25			2.47	-0.86	2.39	-1.02	81.8	UF
TTNO57-6	PC4	VI	66	68	4.71	136.22	3.55	0.10			2.19	-1.06	2.62	-0.98	77.9	UF
TTNO57-6	PC4	VI	69	71	4.74	137.62	4.11	-0.21			2.98	-0.61	2.59	-1.21	79.3	UF
TTNO57-6	PC4	VI	72	74	4.77	139.03					3.22	-0.67	2.59	-1.29	76.6	UF
TTNO57-6	PC4	VI	75	77	4.80	140.43	3.98	-0.20			3.12	-0.59	2.89	-0.93	75.8	UF
TTNO57-6	PC4	VI	80	82	4.83	141.83	4.27	-0.18			2.88	-0.70	2.60	-1.08	73.3	UF
TTNO57-6	PC4	VI	81	83	4.86	143.23					3.09	-0.65	2.68	-0.84	75.9	UF
TTNO57-6	PC4	VI	84	86	4.89	144.64					2.93	-1.00	2.76	-0.93	73.9	UF
TTNO57-6	PC4	VI	87	89	4.92	146.04	4.31	-0.32			3.04	-0.82	2.72	-0.82	72.3	UF
TTNO57-6	PC4	VI	90	92	4.95	146.97			4.16	-1.09	2.74	-1.10	2.80	-0.91	70.8	UF
TTNO57-6	PC4	VI	93	95	4.98	147.90					3.13	-0.71	2.66	-1.35	71.8	UF
TTNO57-6	PC4	VI	96	98	5.01	148.83	4.21	-0.85			2.99	-0.60	2.72	-1.06	69.2	UF
TTNO57-6	PC4	VI	99	101	5.04	149.76					3.07	-0.55	2.77	-0.83	69.9	UF
TTNO57-6	PC4	VI	102	104	5.07	150.69	4.12	-0.44			3.08	-0.86	2.75	-0.89	67.1	UF
TTNO57-6	PC4	VI	105	107	5.10	151.63	4.15	-0.59			2.64	-0.39	2.82	-0.94	66.6	UF
TTNO57-6	PC4	VI	108	110	5.13	152.56			4.11	-1.14	3.20	-0.47	2.54	-1.14	63.3	UF
TTNO57-6	PC4	VI	111	113	5.16	153.49	4.12	-0.35			3.14	0.07	2.68	-0.50	63.9	UF
TTNO57-6	PC4	VI	114	116	5.19	154.42					3.37	-0.30	2.76	-0.97	63.3	UF
TTNO57-6	PC4	VI	117	119	5.22	155.35					3.08	-0.69	2.80	-0.48	65.3	UF
TTNO57-6	PC4	VI	120	122	5.25	156.28	3.99	-1.00			3.04	-0.26	2.29	-0.45	66.8	UF
TTNO57-6	PC4	VI	123	125	5.28	157.21	4.06	-0.66			3.09	-0.52	2.70	-0.48	72.8	UF
TTNO57-6	PC4	VI	126	128	5.31	158.14	4.08	-0.84			2.89	0.48			64.3	UF
TTNO57-6	PC4	VI	129	131	5.34	159.07	4.00	-0.70			3.29	-0.44	2.80	-0.60	72.5	UF
TTNO57-6	PC4	VI	132	134	5.37	160.00	4.13	-0.80			3.07	-0.43			73.8	UF
TTNO57-6	PC4	VI	135	137	5.40	160.93	4.13	-0.87			3.06	-0.71			71.6	UF
TTNO57-6	PC4	VI	138	140	5.43	161.87	4.03	-1.23			3.05	-0.77	2.79	-0.89	66.6	UF
TTNO57-6	PC4	VI	141	143	5.46	162.80	4.13	-0.87			3.08	-0.75			61.8	UF
																
TTNO57-6	PC4	V	0	2	5.49	163.73	3.95	-1.01			3.21	-0.55	2.62	-1.19	62.9	UF
TTNO57-6	PC4	V	4	6	5.52	164.66	3.98	-1.18			3.22	-0.40	2.86	-0.77	58.0	UF
TTNO57-6	PC4	V	6	8	5.55	165.59	3.97	-1.05			3.07	-0.61			58.2	UF
TTNO57-6	PC4	V	9	11	5.58	166.52					2.92	-0.26	2.61	-1.14	61.8	UF
TTNO57-6	PC4	V	12	14	5.61	167.45	3.90	-1.32			2.91	-0.61	2.44	-0.65	63.6	UF
TTNO57-6	PC4	V	15	17	5.64	168.38	3.96	-0.70			2.95	-0.39	2.71	-1.14	66.3	UF
TTNO57-6	PC4	V	18	20	5.67	169.31	3.93	-0.86			2.85	-0.51	2.79	-0.67	66.7	UF
TTNO57-6	PC4	V	21	23	5.70	170.24					2.90	-0.26	2.48	-0.86	62.6	UF
TTNO57-6	PC4	V	24	26	5.73	171.18	3.90	-1.07			2.81	-0.43	2.74	-0.75	58.0	UF
TTNO57-6	PC4	V	27	29	5.76	172.11	4.08	-1.06			2.93	-0.33	2.76	-0.69	61.0	UF
TTNO57-6	PC4	V	30	32	5.79	173.04	3.94	-1.00			2.95	-0.08	2.63	-0.44	60.7	UF
TTNO57-6	PC4	V	33	35	5.82	173.97	3.91	-1.10			2.70	-0.33	2.73	-0.38	62.3	UF
TTNO57-6	PC4	V	36	38	5.85	174.90	3.89	-0.79			2.71	-0.29	2.55	-0.70	68.1	UF
TTNO57-6	PC4	V	39	41	5.88	175.83	3.86	-0.76			2.87	-0.03	2.42	-0.76	66.7	UF
TTNO57-6	PC4	V	42	44	5.91	176.76	3.70	-0.88			2.65	-0.35	2.66	-0.29	66.9	UF
TTNO57-6	PC4	V	45	47	5.94	177.69	3.88	-0.97			2.66	-0.45	2.63	0.04	68.9	UF
TTNO57-6	PC4	V	48	50	5.97	178.62	3.88	-1.20			2.75	-0.63			65.6	UF
TTNO57-6	PC4	V	51	53	6.00	179.55	3.91	-1.32			3.00	-0.12	2.27	-0.98	59.6	UF
TTNO57-6	PC4	V	54	56	6.03	180.48	3.77	-1.00			2.94	-0.29			61.9	UF
TTNO57-6	PC4	V	57	59	6.06	181.42	3.85	-0.42			2.76	-0.50	2.56	-0.76	60.2	UF
TTNO57-6	PC4	V	60	62	6.09	182.35	3.85	-0.59			2.90	-0.18			60.9	UF
TTNO57-6	PC4	V	63	65	6.12	183.28	3.97	-0.86			2.56	0.24	2.56	-0.96	64.1	UF
TTNO57-6	PC4	V	66	68	6.15	184.21	3.89	-1.01			2.74	-0.04			62.8	UF
TTNO57-6	PC4	V	69	71	6.18	185.14	3.86	-0.40			2.68	-0.14	2.31	-0.38	63.7	UF
TTNO57-6	PC4	V	72	74	6.21	186.07	3.51	-0.51			2.13	0.03	2.03	-0.42	71.9	UF
TTNO57-6	PC4	V	75	77	6.24	187.82					2.38	0.21	2.31	-0.25	67.3	UF
TTNO57-6	PC4	V	78	80	6.27	189.57									74.1	UF
TTNO57-6	PC4	V	81	83	6.30	191.32	3.12	-0.45			2.39	-0.14			74.8	UF
TTNO57-6	PC4	V	84	86	6.33	193.07					2.30	0.00	2.00	0.07	74.3	UF
TTNO57-6	PC4	V	87	89	6.36	194.82	3.24	-0.15			2.10	0.13			77.8	UF
TTNO57-6	PC4	V	90	92	6.39	196.57	3.14	-0.41			2.17	-0.15	1.70	0.31	80.7	UF
TTNO57-6	PC4	V	93	95	6.42	198.32	3.06	0.12			1.97	-0.08	1.63	0.15	80.3	UF
TTNO57-6	PC4	V	96	98	6.45	200.07	3.23	-0.05			2.11	-0.05	1.56	0.14	82.9	UF
TTNO57-6	PC4	V	99	101	6.48	201.82					2.12	0.00	1.54	0.30	84.2	UF
TTNO57-6	PC4	V	102	104	6.51	203.57	3.24	-0.10			2.11	0.04	1.65	0.05	83.9	UF
TTNO57-6	PC4	V	105	107	6.54	205.32	3.26	-0.37			2.19	0.04	1.65	0.23	78.2	UF
TTNO57-6	PC4	V	108	110	6.57	207.07	3.06	0.28			1.92	-0.01	1.46	0.10	84.3	UF
TTNO57-6	PC4	V	111	113	6.60	208.82					1.88	0.02	1.30	0.17	85.4	UF
TTNO57-6	PC4	V	114	116	6.63	210.57	3.04	-0.13			2.02	-0.40	1.59	0.12	83.8	UF
TTNO57-6	PC4	V	117	119	6.66	212.32					2.20	-0.39	1.47	0.03	82.4	UF
TTNO57-6	PC4	V	120	122	6.69	214.07					2.19	-0.52	1.82	-0.09	84.8	UF
TTNO57-6	PC4	V	123	125	6.72	215.82	3.03	-0.24			2.27	-0.60	1.75	-0.36	81.6	UF
TTNO57-6	PC4	V	126	128	6.75	217.57	3.12	-0.34			2.27	-0.72	2.00	-0.32	79.1	UF
TTNO57-6	PC4	V	129	131	6.78	219.32	3.29	-0.29			2.43	-0.77	2.13	-0.18	70.4	UF
TTNO57-6	PC4	V	132	134	6.81	221.07	3.06	-0.10			2.56	-0.28	2.40	-0.16	68.8	UF
TTNO57-6	PC4	V	135	137	6.84	222.82					2.46	-0.14	2.51	-0.01	72.1	UF
TTNO57-6	PC4	V	138	140	6.87	224.57	3.32	-0.29			2.49	-0.65	2.43	-0.33	74.5	UF
TTNO57-6	PC4	V	141	143	6.90	226.32	3.14	-0.19			2.45	-0.24	2.49	0.08	73.6	UF
TTNO57-6	PC4	V	144	146	6.93	228.07	3.46	-0.03	3.01	0.13	2.14	-0.16	2.20	0.18	73.1	UF
TTNO57-6	PC4	V	147	149	6.96	229.82	3.16	0.04			2.37	0.03			83.6	UF
																
TTNO57-6	PC4	IV	0	2	7.00	231.98	3.07	0.00			2.17	-0.36	1.93	0.40	86.5	UF
TTNO57-6	PC4	IV	3	5	7.03	233.73	3.01	0.11			2.23	0.08	2.07	0.25	82.3	UF
TTNO57-6	PC4	IV	6	8	7.06	235.48	2.96	0.10			2.32	-0.07	1.97	-0.02	84.6	UF
